_airbyte_raw_id,_airbyte_extracted_at,id_transacao,valor,status,cpf_titular,numero_cartao,email_comprador,data_transacao
11111111-1111-1111-1111-111111111111,2026-09-01T03:12:00Z,TX-1001,150.00,aprovado,123.456.789-09,4111111111111111,Ana.Silva@Email.com,2026-09-01T02:10:00Z
22222222-2222-2222-2222-222222222222,2026-09-01T03:12:00Z,TX-1002,1200.50,APROVADO,98765432100,5500005555555559,bruno@loja.com.br,2026-09-01T02:15:00Z
33333333-3333-3333-3333-333333333333,2026-09-01T03:12:00Z,TX-1003,45.90,pendente,111.222.333-96,,carla@mail.com,2026-09-01T02:20:00Z
44444444-4444-4444-4444-444444444444,2026-09-02T03:12:00Z,TX-1003,45.90,APROVADO,111.222.333-96,4000123412341234,carla@mail.com,2026-09-02T09:00:00Z
55555555-5555-5555-5555-555555555555,2026-09-02T03:12:00Z,TX-1004,0,RECUSADO,222.333.444-05,4000000000000002,diego@x.com,2026-09-02T09:05:00Z
66666666-6666-6666-6666-666666666666,2026-09-02T03:12:00Z,TX-1005,320.00,SUCCESS,333.444.555-14,4012888888881881,ELISA@corp.io,2026-09-02T10:30:00Z
77777777-7777-7777-7777-777777777777,2026-09-03T03:12:00Z,TX-1006,-10.00,CANCELADO,44444444444,378282246310005,fabio@web.com,2026-09-03T11:00:00Z
88888888-8888-8888-8888-888888888888,2026-09-03T03:12:00Z,TX-1007,899.99,,555.666.777-23,6011111111111117,gina@shop.net,2026-09-03T12:45:00Z
99999999-9999-9999-9999-999999999999,2026-09-03T03:12:00Z,TX-1008,2500.00,APROVADO,666.777.888-32,4111111111111111,heitor@mail.com,2026-09-03T13:20:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-09-04T03:12:00Z,TX-1008,2500.00,APROVADO,666.777.888-32,4111111111111111,heitor@mail.com,2026-09-04T08:00:00Z
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,2026-09-04T03:12:00Z,TX-1009,75.25,paid,777.888.999-41,5105105105105100,igor@dev.com,2026-09-04T14:10:00Z
cccccccc-cccc-cccc-cccc-cccccccccccc,2026-09-04T03:12:00Z,TX-1010,410.00,FAILED,888.999.000-50,4111111111111111,julia@site.org,2026-09-04T15:00:00Z
